City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current
643,Santo Antonio Do Ica,-3.1022,-67.9397,88.11,60,98,1.34,BR,2021-04-10 18:07:23,overcast clouds
644,Puerto Escondido,15.85,-97.0667,86.74,52,0,11.07,MX,2021-04-10 18:07:24,clear sky
645,Bilma,18.6853,12.9164,92.12,5,54,10.45,NE,2021-04-10 18:07:24,broken clouds
646,Yangcun,39.3639,117.0603,62.01,76,73,2.24,CN,2021-04-10 18:07:24,light rain
647,Roma,43.2128,-75.4557,75.99,40,1,5.75,US,2021-04-10 18:03:34,clear sky
648,Mosquera,4.7059,-74.2302,66.2,52,75,5.75,CO,2021-04-10 18:07:25,broken clouds
649,Ponta Delgada,37.7333,-25.6667,62.6,94,75,11.5,PT,2021-04-10 18:03:12,broken clouds
650,Matay,28.419,30.7792,60.03,28,0,18.05,EG,2021-04-10 18:07:25,clear sky
651,The Valley,18.217,-63.0578,84.2,47,20,9.22,AI,2021-04-10 18:07:25,few clouds
652,Martapura,-3.4167,114.85,77.0,94,90,1.14,ID,2021-04-10 18:07:26,overcast clouds
653,Puerto Leguizamo,-0.1934,-74.7819,93.18,45,43,1.92,CO,2021-04-10 18:07:26,scattered clouds
654,Leua,48.2156,18.6071,52.0,54,76,4.0,SK,2021-04-10 18:07:26,broken clouds
655,Kapiri Mposhi,-13.9652,28.6809,62.01,72,53,6.15,ZM,2021-04-10 18:07:27,broken clouds
656,Lagoa,39.05,-27.9833,59.68,93,100,23.29,PT,2021-04-10 18:07:27,overcast clouds
657,Taltal,-25.4,-70.4833,68.31,71,95,6.08,CL,2021-04-10 18:07:27,overcast clouds
658,Verkhoyansk,67.5447,133.385,-27.69,99,58,3.33,RU,2021-04-10 18:07:28,broken clouds
659,Suhbaatar,50.2314,106.2078,30.99,46,100,14.12,MN,2021-04-10 18:07:28,overcast clouds
660,Mecca,21.4267,39.8261,78.31,44,1,9.44,SA,2021-04-10 18:07:28,clear sky
661,Uyuni,-20.4597,-66.825,63.39,16,12,12.75,BO,2021-04-10 18:07:28,few clouds
662,Huoqiu,32.3394,116.2694,52.86,79,95,7.83,CN,2021-04-10 18:07:29,light rain
663,Orel-Izumrud,43.4583,39.9244,46.4,93,90,2.24,RU,2021-04-10 18:07:29,light rain
664,Bubaque,11.2833,-15.8333,77.63,71,7,13.18,GW,2021-04-10 18:07:29,clear sky
665,Scarborough,54.2797,-0.4044,39.0,74,61,1.01,GB,2021-04-10 18:06:07,broken clouds
666,Kulykiv,50.3142,24.8176,46.87,68,14,7.27,UA,2021-04-10 18:07:30,few clouds
667,San Gabriel,34.0961,-118.1058,73.0,52,1,6.69,US,2021-04-10 18:07:30,clear sky
668,Sabang,5.8933,95.3214,83.86,70,70,8.23,ID,2021-04-10 18:07:30,broken clouds
669,Pecos,31.4229,-103.4932,62.6,16,1,8.05,US,2021-04-10 18:03:58,clear sky
670,Omboue,-1.5746,9.2618,78.4,83,100,4.76,GA,2021-04-10 18:07:31,overcast clouds
671,Narrabri,-30.3167,149.7833,53.01,76,12,5.75,AU,2021-04-10 18:03:52,few clouds
672,Masuguru,-11.3667,38.4167,72.46,94,100,2.82,TZ,2021-04-10 18:07:32,light rain
673,Nakusp,50.2499,-117.8023,39.2,81,89,3.44,CA,2021-04-10 18:07:32,overcast clouds
674,Idil,37.3411,41.8895,54.54,54,76,4.09,TR,2021-04-10 18:07:33,broken clouds
675,Dawlatabad,36.4141,64.9053,68.59,29,82,4.99,AF,2021-04-10 18:07:33,broken clouds
676,Ust-Omchug,61.15,149.6333,-12.08,99,87,4.7,RU,2021-04-10 18:07:33,overcast clouds
677,Tripoli,32.8752,13.1875,65.12,59,100,24.9,LY,2021-04-10 18:07:32,overcast clouds
678,Sheridan,44.8333,-106.9173,64.99,17,1,9.22,US,2021-04-10 18:07:34,clear sky
679,Sioux Lookout,50.1001,-91.917,41.0,87,75,9.22,CA,2021-04-10 18:03:00,mist
680,Tiznit,29.5833,-9.5,60.46,70,5,12.95,MA,2021-04-10 18:07:34,clear sky
681,Bitung,1.4451,125.1824,73.4,94,40,2.3,ID,2021-04-10 18:05:19,scattered clouds
682,Elko,41.0002,-115.5012,63.0,18,1,11.99,US,2021-04-10 18:07:34,clear sky
683,Svetlogorsk,52.6333,29.7333,44.44,62,34,9.26,BY,2021-04-10 18:04:48,scattered clouds
684,Rawson,-43.3002,-65.1023,68.83,37,3,17.4,AR,2021-04-10 18:07:35,clear sky
685,Brae,60.3964,-1.353,35.6,75,95,8.05,GB,2021-04-10 18:07:35,overcast clouds
686,Mangrol,21.1167,70.1167,79.84,68,0,13.22,IN,2021-04-10 18:07:35,clear sky
687,Buala,-8.145,159.5921,78.85,82,99,4.47,SB,2021-04-10 18:07:35,light rain
688,Pangnirtung,66.1451,-65.7125,15.8,86,90,1.68,CA,2021-04-10 18:07:36,overcast clouds
689,Taman,45.2117,36.7161,44.6,70,100,6.71,RU,2021-04-10 18:07:36,overcast clouds
690,Zenica,44.2014,17.9064,55.4,35,0,4.61,BA,2021-04-10 18:07:36,clear sky
691,Mizdah,31.4451,12.9801,63.88,34,78,15.79,LY,2021-04-10 18:07:37,broken clouds
692,Inta,66.0317,60.1659,36.97,67,55,21.41,RU,2021-04-10 18:07:37,broken clouds
693,Rio Gallegos,-51.6226,-69.2181,66.2,34,40,11.5,AR,2021-04-10 18:07:37,scattered clouds
694,Dakar,14.6937,-17.4441,73.4,73,0,16.11,SN,2021-04-10 18:06:14,clear sky
695,Tagab,34.855,69.6492,51.8,66,20,8.05,AF,2021-04-10 18:07:38,few clouds
696,Vardo,70.3705,31.1107,32.68,63,99,7.9,NO,2021-04-10 18:03:18,overcast clouds
